(100000,0)(-24514.8,-11515)(10066,-5052.63)(29889.8,-15109.1)(-791640,-466434)(5.37444e+06,1.22467e+06)(4.20238e+06,2.59332e+07)(-1.36614e+08,-3.30712e+07)(-1.26538e+09,-5.34726e+08)
(18187,0)(10155,7145.06)(3658.51,23479.3)(8802.33,-4262.75)(-179855,12279.1)(-135924,-131431)(10969.9,1.77824e+06)(4.61187e+06,-5.94795e+06)(-1.00572e+06,5.96173e+06)
(9,0)(56.6849,52.7376)(-15.3599,-220.448)(-483.085,602.955)(2927.25,-467.902)(-10118.6,-6473.96)(14123.3,48328.8)(87986.8,-196567)(-834187,412614)
(402,0)(903.302,2411.77)(4659.66,-2025.92)(-5162.66,-9620.51)(-19050.4,13715.5)(33638.2,33422.6)(42025.6,-63342)(-21505.7,9245.3)(286239,-610582)
(349,0)(2200.24,706.888)(-4494.33,-1533.85)(10095.2,3928.83)(-22801.1,-10940.8)(49754.3,29237.3)(-98759.6,-65192.2)(154502,76347.9)(-75052.9,318202)
(17427,0)(26040.4,22903.7)(-351.254,-9420.66)(-1798.23,2995.45)(15110.4,-2405.59)(-117585,-96766.8)(77735.5,660988)(1.22456e+06,-1.69916e+06)(-5.56242e+06,1.193e+06)
(806,0)(2909.73,2688.87)(-437.957,-6313)(-7933.85,9681.19)(27245.2,-3504.58)(-51976.9,-37852.6)(28575.9,154578)(216149,-332168)(-994088,236219)
(3278,0)(4616.12,10041)(5163.33,-6641.65)(-7802.67,-2267.94)(655.61,8721.02)(7455.41,-7099.69)(-21934.3,8507.03)(85206.7,38260.2)(-32487.9,-331042)
(366,0)(775.33,1460.45)(1138.54,-1848)(-3593.53,-109.036)(3139.82,5882.98)(7005.57,-11216.4)(-27390.6,-925.361)(27738.9,51625)(66935.2,-109487)
(549,0)(569.558,2181.69)(2387.96,-915.545)(-1803.22,-3154.21)(-4496.25,3635.17)(7259.02,6564.87)(9508.39,-14311.3)(-27870,-13293.8)(-17297.9,53660)
(940,0)(1997.59,2735.45)(291.672,-3005.78)(-2749.96,2030.61)(4297.64,938.482)(-2881.94,-5218.43)(-2862.72,7761.95)(10896.6,-3980.57)(-14048,-8213.91)
(1423,0)(1455.15,4058.08)(2407.93,-1981.52)(-2622.21,-1581.58)(-698.537,3298.42)(3870.9,-592.993)(-2529.56,-3917.75)(-2422.07,5177.76)(7684.04,-2612.72)
(249,0)(331.05,797.865)(560.709,-606.957)(-958.716,-323.601)(130.123,1385.08)(1778.9,-1004.68)(-2520.73,-1856.06)(-1035.78,4831.82)(7795.05,-1692.52)
(307,0)(241.013,985.586)(827.034,-336.325)(-542.132,-852.201)(-940.535,875.706)(1397.41,1041.54)(1098.17,-2200.48)(-3418.06,-1013.68)(-614.339,5234.47)
(406,0)(538.392,1083.31)(434.054,-755.227)(-835.672,-5.74363)(440.769,792.492)(546.863,-890.48)(-1248.47,-51.9838)(685.244,1369.16)(1084.85,-1569.33)
