(-2.54588,-2.69524),(7704.25,0)
(-2.52846,-2.43459),(8444.97,0)
(-2.46811,-2.42854),(8645.96,0)
(-2.53666,-2.53495),(8144.34,0)
(-2.91664,-2.35483),(7582.33,0)
(-4.1146,-2.35946),(5293.08,0)
(-2.56504,-2.67824),(7703.3,0)
(-2.45609,-2.30852),(9055.04,0)
(-2.80679,-2.49528),(7561.06,0)
(-1.94623,-2.53822),(18106.3,0)
(-1.252,-2.34112),(23932.1,0)
(-0.336763,-2.45411),(26906.7,0)
(-0.287509,-3.48534),(16531.2,0)
(-0.279938,-2.5456),(25801.7,0)
(-1.70755,-2.71042),(18146.2,0)
(-0.348349,-2.3478),(28733.2,0)
(-1.26243,-2.50324),(21986.8,0)
(-0.668079,-2.31842),(27742.3,0)
(-0.697891,-2.29913),(27972.9,0)
(-0.405801,-2.68768),(23337.1,0)
(-0.764404,-2.86058),(20465.1,0)
(-1.6175,-2.39875),(20987.2,0)
(-0.723555,-2.41496),(25830.6,0)
(-1.45957,-2.51811),(20802.4,0)
(-1.0269,-2.94859),(18964.2,0)
(-1.11462,-2.52356),(22521.1,0)
(-0.436589,-2.91024),(20820.9,0)
(-0.440472,-2.78596),(22096.5,0)
(-0.384566,-2.72622),(22939,0)
(-0.504709,-2.31242),(28675.5,0)
(-1.15929,-2.53167),(22212.9,0)
(-1.54418,-2.36056),(21830,0)
(-0.315632,-2.43427),(27343.1,0)
(-1.30265,-2.36522),(23297.1,0)
(-1.1992,-2.38516),(23695.9,0)
(-2.38061,-2.31941),(17013.2,0)
(-0.749804,-2.52969),(24099.5,0)
(-0.842866,-3.22512),(17441,0)
(-0.927725,-2.316),(26370.8,0)
(-0.59142,-2.43227),(26149.9,0)
(-1.27285,-2.52552),(21705.1,0)
(-1.02894,-2.54295),(22713.9,0)
(-2.01763,-2.58926),(17460.2,0)
(-0.717963,-2.58048),(23584.3,0)
(-1.04201,-2.3034),(25875.4,0)
(-1.11308,-2.36881),(24433,0)
(-0.586511,-2.31019),(28307.5,0)
(-0.597027,-2.4188),(26338.1,0)
(-0.970788,-2.45807),(24021.5,0)
(-0.383762,-2.45172),(26723.7,0)
(-0.57502,-2.50635),(25116.2,0)
(-1.53586,-3.0791),(16566.6,0)
(-0.444994,-2.68856),(23202.2,0)
(-0.382367,-2.35314),(28460.3,0)
(-0.315944,-2.97702),(20429.2,0)
(-0.720325,-2.92371),(20018.8,0)
(-2.0116,-2.7698),(16531.5,0)
(-0.352726,-2.30055),(29740,0)
(-0.314934,-2.81623),(22095.6,0)
(-0.363025,-2.5021),(26029,0)
(-2.26339,-2.5831),(16362.3,0)
(-0.383462,-2.69587),(23308.9,0)
(-0.936492,-2.38019),(25284.6,0)
(-0.288981,-2.56104),(25505.9,0)
(-0.819651,-2.63889),(22515.3,0)
(-0.540575,-2.46457),(25866,0)
(-1.02614,-2.82604),(19958.1,0)
(-0.742938,-2.43267),(25473.3,0)
(-1.25079,-2.94676),(18284.7,0)
(-0.590972,-2.6124),(23652.3,0)
(-0.819486,-3.5962),(15308,0)
(-1.21198,-2.65924),(20714.7,0)
(-0.677665,-2.83058),(20991.8,0)
(-0.64284,-2.68982),(22563.8,0)
(-1.82458,-2.74357),(17442.7,0)
(-0.898328,-2.73199),(21257.6,0)
(-0.405548,-2.50741),(25767.7,0)
(-2.15772,-3.07186),(14672.4,0)
(-0.338451,-2.58141),(24975.7,0)
(-0.597775,-2.39306),(26753.7,0)
(-1.04654,-3.18065),(17286.3,0)
(-0.532032,-2.49754),(25411.4,0)
(-0.296468,-2.50211),(26371.3,0)
(-0.910685,-2.88599),(19815,0)
(-1.55247,-2.95551),(17224.3,0)
(-1.07903,-3.13206),(17521.6,0)
(-2.04233,-2.88652),(15850.6,0)
(-0.989286,-2.54296),(22896.4,0)
(-0.504856,-2.75106),(22301.6,0)
(-0.283825,-2.46505),(27054.9,0)
(-1.4387,-3.13628),(16531.8,0)
(-0.815545,-3.08206),(18505.9,0)
(-1.42193,-2.3899),(22280.4,0)
(-0.626711,-2.79133),(21526,0)
(-0.304773,-2.49119),(26491.9,0)
(-0.826241,-2.63267),(22559.6,0)
(-1.46023,-2.52833),(20707.3,0)
(-0.519127,-3.77151),(14747.7,0)
(-0.532168,-2.38758),(27140.3,0)
(-1.38981,-2.57221),(20674.7,0)
(-0.508494,-2.3289),(28323.4,0)
(-0.626303,-2.57592),(23985.2,0)
(-0.39312,-2.30195),(29480.8,0)
(-1.13266,-2.73046),(20401.8,0)
(-0.773328,-2.39723),(25868.7,0)
(-1.15016,-2.33524),(24680.5,0)
(-0.927895,-4.17374),(12710.1,0)
(-0.375206,-2.4947),(26087.9,0)
(-1.21357,-2.68543),(20473.1,0)
(-1.09139,-2.78441),(20086.5,0)
(-0.6538,-2.74482),(21929.6,0)
(-1.37,-2.36851),(22838.7,0)
(-0.893197,-2.30746),(26733.6,0)
(-1.82219,-2.32617),(20342.8,0)
(-0.504845,-2.33261),(28268.1,0)
(-0.293734,-2.7507),(22941.9,0)
(-1.02913,-3.14826),(17538.1,0)
(-0.400679,-2.52782),(25486.9,0)
(-0.669653,-3.3258),(17091,0)
(-1.09249,-2.84469),(19578.5,0)
(-2.09779,-2.66345),(16705.4,0)
(-1.00212,-2.40747),(24533.7,0)
(-1.465,-2.34456),(22517.5,0)
(-0.517678,-3.08745),(19079.7,0)
(-0.898001,-2.5687),(23000.4,0)
(-0.865279,-2.56579),(23172.6,0)
(-1.03913,-2.47795),(23426.9,0)
(-1.02554,-2.48609),(23396,0)
(-0.297872,-2.4848),(26635.2,0)
(-0.530439,-3.08538),(19072.7,0)
(-0.441307,-3.32963),(17391.2,0)
(-1.14824,-2.48032),(22836.6,0)
(-0.373552,-2.44026),(26956.2,0)
(-0.411719,-2.87342),(21244.5,0)
(-0.291915,-2.32152),(29576.1,0)
(-1.29738,-2.81517),(19079.9,0)
(-1.29322,-2.34054),(23662.6,0)
(-1.08917,-2.51564),(22734.7,0)
(-1.17933,-2.71067),(20391.4,0)
(-0.608433,-2.59283),(23835.4,0)
(-0.600988,-2.67115),(22913.3,0)
(-0.762487,-3.00924),(19194.8,0)
(-0.740235,-2.64083),(22785.7,0)
(-0.954239,-2.42582),(24536.3,0)
(-1.14316,-2.31971),(24955.5,0)
(-1.85088,-2.81192),(16950,0)
(-0.697637,-2.47342),(25081.9,0)
(-1.47944,-3.04392),(16939.7,0)
(-0.340628,-2.38794),(28011.5,0)
(-0.844299,-2.65831),(22210.5,0)
(-1.09831,-2.87704),(19299.4,0)
(-1.23245,-2.36619),(23732.7,0)
(-1.49462,-2.35119),(22250.2,0)
(-0.817425,-2.31561),(27012.8,0)
(-2.12067,-2.37751),(18132.1,0)
(-0.547899,-2.82206),(21429,0)
(-0.671412,-2.50038),(24813.7,0)
(-0.488398,-2.716),(22746,0)
(-0.694209,-2.86639),(20606.2,0)
(-0.611302,-2.68177),(22757.3,0)
(-0.940442,-2.7411),(21020.5,0)
(-1.51139,-2.32571),(22433.3,0)
(-0.848188,-2.63906),(22405.3,0)
(-1.22341,-2.59264),(21286.3,0)
(-1.19565,-2.30278),(24902.1,0)
(-2.20575,-2.33607),(17883.6,0)
(-0.50751,-2.82397),(21515.2,0)
(-1.62731,-3.02085),(16601.9,0)
(-1.12614,-2.66263),(21048.6,0)
(-0.96218,-2.70266),(21313.3,0)
(-1.88507,-2.3928),(19411.8,0)
(-0.905526,-2.71387),(21410.8,0)
(-1.15858,-2.7665),(19990.9,0)
(-1.34896,-2.59942),(20630.5,0)
(-0.762437,-2.51764),(24203.9,0)
(-0.661623,-2.43509),(25801.7,0)
(-0.643871,-2.45506),(25578.2,0)
(-0.764764,-2.35524),(26595.6,0)
(-1.10831,-2.32122),(25157.2,0)
(-1.25612,-2.43291),(22784.9,0)
(-1.80195,-3.13034),(15503.8,0)
(-1.62868,-2.61433),(19166.8,0)
(-0.446459,-2.33504),(28500.6,0)
(-0.277223,-2.37443),(28589.1,0)
(-1.34112,-2.44189),(22199,0)
(-0.555959,-2.37787),(27200.3,0)
(-0.653048,-2.41572),(26139.4,0)
(-1.16943,-3.68819),(14352.8,0)
(-0.472445,-2.46375),(26157.1,0)
(-1.31808,-2.30895),(23898.5,0)
(-0.854378,-2.37931),(25738.1,0)
(-0.980339,-2.84924),(19911.2,0)
(-0.301097,-2.34064),(29119.9,0)
(-1.57166,-2.4421),(20866,0)
(-0.363592,-2.3298),(29024.4,0)
(-1.25604,-2.48806),(22179.9,0)
(-1.1762,-2.32748),(24629.9,0)
(-0.615269,-2.50444),(24983.9,0)
(-1.04344,-2.46909),(23513.4,0)
(-0.683463,-2.62537),(23169.1,0)
(-0.993916,-2.47658),(23670.3,0)
(-0.715306,-2.40241),(26064.7,0)
(-1.14097,-2.54155),(22197.1,0)
(-1.32305,-2.9378),(18110.2,0)
(-0.260915,-2.43734),(27775,0)
(-1.20477,-3.2211),(16659.8,0)
(-0.422378,-2.4467),(26636,0)
(-0.837889,-2.41722),(25249,0)
(-1.15358,-2.95377),(18541.9,0)
(-2.03952,-2.43202),(18261,0)
(-0.814943,-2.66206),(22278.1,0)
(-1.46796,-2.3452),(22490.8,0)
(-1.58677,-3.28851),(15348.1,0)
(-0.763745,-2.8407),(20650.4,0)
(-0.343395,-2.4297),(27274.3,0)
(-0.492741,-2.65007),(23517.8,0)
(-0.469117,-2.61305),(24064.2,0)
(-1.57153,-2.42217),(21049.9,0)
(-0.733568,-2.5584),(23798.6,0)
(-0.474284,-2.33471),(28372.6,0)
(-0.631914,-2.65758),(22968.9,0)
(-0.453001,-2.50599),(25598.3,0)
(-0.752339,-2.38885),(26103.4,0)
(-0.894869,-2.45045),(24499.4,0)
(-0.906251,-2.45212),(24421.1,0)
(-0.90678,-2.62792),(22298.7,0)
(-1.66059,-2.36243),(21051.7,0)
(-1.04726,-2.39628),(24437.4,0)
(-0.613852,-2.56948),(24113.9,0)
(-0.540075,-2.72705),(22465.9,0)
(-0.579044,-2.7611),(21978.9,0)
(-0.918295,-2.98261),(19008.2,0)
(-1.53579,-2.69465),(19007,0)
(-0.27273,-2.6604),(24193.4,0)
(-0.697546,-3.36568),(16793.7,0)
(-0.87337,-2.45758),(24506.6,0)
(-0.891951,-2.41593),(24996.2,0)
(-1.93896,-2.45389),(18677.9,0)
(-0.313541,-2.68729),(23660.1,0)
(-0.60247,-2.33158),(27816,0)
(-0.719335,-2.59306),(23425.2,0)
(-0.613964,-2.46641),(25536.1,0)
(-1.06113,-2.61796),(21764.1,0)
(-1.34931,-3.06192),(17226.3,0)
(-1.52952,-2.33099),(22254.1,0)
(-0.887723,-3.02823),(18737.1,0)
(-0.430972,-2.97217),(20245.4,0)
(-1.49505,-2.37304),(22009.3,0)
(-0.667703,-2.33403),(27452.7,0)
(-1.28585,-2.39869),(23003.9,0)
(-1.23125,-2.30098),(24668.6,0)
(-1.6681,-2.31874),(21423,0)
(-1.30672,-2.40314),(22826.9,0)
(-0.321834,-2.29637),(30021.9,0)
(-0.561494,-3.21898),(17995.3,0)
(-0.291221,-2.33954),(29196.9,0)
(-1.0425,-2.35488),(25055.6,0)
(-1.08986,-2.41662),(23927.4,0)
(-1.13773,-2.67143),(20917.5,0)
(-0.418224,-2.4567),(26494,0)
